lifeSpan,viability,meanViability,currentVariance,standardDeviation,temp,energy,moisture,pain,stress,libido,glucose
51,0.289166666666666665273105474,0.2906884057971014478772757607,0.00005226571053665706059486408598,0.00722950278626802,0.4299999999999999968081088037,0.03999999999999999042432641326,0.03999999999999999042432641326,0,0.03999999999999999042432641326,1,0
52,0.2899444444444444430794098157,0.2906725768321512988390232938,0.00005116495449915430796332493021,0.007152968229983571,0.4346666666666666636459348533,0.02999999999999999021615959614,0.02999999999999999021615959614,0,0.02999999999999999021615959614,1,0
53,0.2907777777777777764300903837,0.2906747685185185171221705248,0.00005009923900766136699116113104,0.007078081590915816,0.4393333333333333304837609029,0.01999999999999999000799277902,0.01999999999999999000799277902,0,0.01999999999999999000799277902,1,0
54,0.2916666666666666653251471783,0.2906950113378684793303945382,0.00004909607319276994952060090114,0.0070068590104817976,0.4439999999999999973215869525,0.00999999999999998979982596190,0.00999999999999998979982596190,0,0.00999999999999998979982596190,1,0
55,0,0.2848811111111111097437866474,0.001671259101086939226307217076,0.04088103595907201,0.4486666666666666641594130021,-1.040834085522E-17,-1.040834085522E-17,0,-1.040834085522E-17,1,0
56,0,0.2792952069716775585723398504,0.003168015052778415020266580010,0.05628512283701986,0.4533333333333333309972390517,0,0,0,0,1,0
57,0,0.2739241452991452978305640840,0.004550061635953200596174975633,0.06745414469069488,0.4579999999999999978350651013,0,0,0,0,1,0
58,0,0.2687557651991614242865911768,0.005827035215044400338226958260,0.07633501958501354,0.4626666666666666646728911509,0,0,0,0,1,0
59,0,0.2637788065843621386516543031,0.007007631948155991642181250757,0.08371159984229182,0.4673333333333333315107172005,0,0,0,0,1,0
60,0,0.2589828282828282815852605885,0.008099713282650844893898938153,0.08999840711174195,0.4719999999999999983485432501,0,0,0,0,1,0
61,0,0.2543581349206349194140952209,0.009110398059751792614407670011,0.09544840522372175,0.4766666666666666651863692997,0,0,0,0,1,0
62,0,0.2498957115009746576699882872,0.01004614312232769726667810142,0.1002304500754521,0.4813333333333333320241953493,0,0,0,0,1,0
63,0,0.2455871647509578532274022822,0.01091281402522573895999795561,0.10446441511455343,0.4859999999999999988620213989,0,0,0,0,1,0
64,0,0.2414246704331450082574463114,0.01171574720265839900387963602,0.10823930525764842,0.4906666666666666656998474485,0,0,0,0,1,0
65,0,0.2374009259259259247864888728,0.01245980474312220848563038525,0.1116234954797699,0.4953333333333333325376734981,0,0,0,0,1,0
